OPTD: OPT Done
YD: Written to extract write set
CTD: Test Done

R1: Optimizing sal/sar/shr and the flag updates; Is the path count mask > 64 ever reached, Testing of sarxq_r64_r64_r64 shows its not.
#R2: concate over extract cm(ex1, cm(ex2,...)) can we concat ex1 and ex2 
R3: adc flags
#R4: B orBool B



vxorpd_xmm_xmm_xmm	2	11	
xaddb_r8_rh	2	19	
xaddb_rh_r8	2	17	
xaddw_r16_r16	2	8	
xchgb_r8_rh	2	19	
xchgb_rh_rh	2	30	
xchgw_ax_r16	2	6	
xorb_r8_r8	2	11	

Stratum 3	78		
addb_r8_rh	3	17	
addb_rh_r8	3	21	
bswap_r32	3	17	
cmovbeq_r64_r64	3	29	
cmovnzl_r32_r32	3	10	
cvtpd2dq_xmm_xmm	3	12	
cvttsd2sil_r32_xmm	3	25	
cwtd	3	11	
divss_xmm_xmm	3	24	
haddpd_xmm_xmm	3	24	
incb_rh	3	17	
incq_r64	3	57	
maxpd_xmm_xmm	3	13	
maxsd_xmm_xmm	3	20	
maxss_xmm_xmm	3	21	
minpd_xmm_xmm	3	13	
minss_xmm_xmm	3	14	
movq_xmm_r64	3	15	
movsldup_xmm_xmm	3	28	
movzwq_r64_r16	3	22	
negb_r8	3	44	
notb_r8	3	25	
orb_rh_r8	3	46	
orl_r32_r32	3	26	
pandn_xmm_xmm	3	19	
popcntl_r32_r32	3	10	
punpckhqdq_xmm_xmm	3	6	
rclb_r8_one	3	10	
rolb_rh_one	3	55	
roll_r32_one	3	21	
rsqrtss_xmm_xmm	3	26	
salb_rh_one	3	13	
seta_rh	3	14	
setae_rh	3	9	
setbe_rh	3	33	
sete_rh	3	27	
setge_rh	3	29	
setl_r8	3	14	
setle_rh	3	20	
setne_r8	3	28	
setnge_r8	3	39	
setnl_r8	3	26	
setnz_r8	3	23	
seto_rh	3	28	
setpo_rh	3	40	
setz_rh	3	21	
shlw_r16_one	3	21	
subpd_xmm_xmm	3	29	
subss_xmm_xmm	3	21	
vaddsd_xmm_xmm_xmm	3	13	
vandnpd_xmm_xmm_xmm	3	20	
