VPOR	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
VPXOR	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
ADD	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
ADD	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
ADD	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
ADD	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
ADD	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
ADD	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
OR	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
OR	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
OR	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
OR	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
OR	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
OR	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
ADC	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
ADC	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
ADC	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
ADC	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
ADC	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
ADC	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
SBB	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
SBB	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
SBB	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
SBB	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
SBB	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
SBB	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
AND	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
AND	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
AND	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
AND	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
AND	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
AND	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
SUB	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
SUB	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
SUB	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
SUB	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
SUB	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
SUB	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
XOR	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
XOR	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
XOR	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
XOR	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
XOR	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
XOR	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
CMP	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
CMP	x86-add/adc/sub/sbb/or/and/xor/cmp/test-e-g -- 
CMP	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
CMP	x86-add/adc/sub/sbb/or/and/xor/cmp-g-e -- 
CMP	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
CMP	x86-add/adc/sub/sbb/or/and/xor/cmp-test-rax-i -- 
INC	x86-inc/dec-4x
INC	x86-inc/dec-4x
INC	x86-inc/dec-4x
INC	x86-inc/dec-4x
INC	x86-inc/dec-4x
INC	x86-inc/dec-4x
INC	x86-inc/dec-4x
INC	x86-inc/dec-4x
DEC	x86-inc/dec-4x
DEC	x86-inc/dec-4x
DEC	x86-inc/dec-4x
DEC	x86-inc/dec-4x
DEC	x86-inc/dec-4x
DEC	x86-inc/dec-4x
DEC	x86-inc/dec-4x
